,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
171,80,130,180,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
172,20,150,180,212046.48251365,134.7497306499863,1031.0,211911.732783,0.02529241375814924
173,40,150,180,215655.9494312,44.49677419998443,1049.0,215611.45265700002,0.025837857229853652
174,60,150,180,216281.17837799998,53.105741999985185,1052.0,216228.072636,0.02598347005133079
175,80,150,180,213823.50893965,61.91621964998649,1040.0,213761.59272000002,0.025504689666070418
176,20,170,180,218160.09314105,82.16056804998288,1061.0,218077.932573,0.02637019823430476
177,40,170,180,220043.35152035,115.55901034998624,1070.0,219927.79251,0.02684634049651672
178,60,170,180,219818.81793104997,96.56541404995468,1069.0,219722.25251700002,0.0269334032273196
179,80,170,180,218085.11131275,7.1787397499967085,1061.0,218077.932573,0.026382450793325875
180,20,10,200,176159.02111680002,833.4070877999976,853.0,175325.61402900002,0.02132870001303103
181,40,10,200,174962.03671635,6213.702463349995,821.0,168748.334253,0.021674149915624698
182,60,10,200,175741.3777019,4.68368689999042,855.0,175736.69401500002,0.0223974399777623
183,80,10,200,175947.49369124998,5.259683249986111,856.0,175942.234008,0.0218454203418623
184,20,30,200,176159.02111680002,833.4070877999976,853.0,175325.61402900002,0.02132870001303103
185,40,30,200,174962.03671635,6213.702463349995,821.0,168748.334253,0.021674149915624698
186,60,30,200,175741.3777019,4.68368689999042,855.0,175736.69401500002,0.0223974399777623
187,80,30,200,175947.49369124998,5.259683249986111,856.0,175942.234008,0.0218454203418623
188,20,50,200,176159.02111680002,833.4070877999976,853.0,175325.61402900002,0.02132870001303103
189,40,50,200,174962.03671635,6213.702463349995,821.0,168748.334253,0.021674149915624698
190,60,50,200,175741.3777019,4.68368689999042,855.0,175736.69401500002,0.0223974399777623
191,80,50,200,175947.49369124998,5.259683249986111,856.0,175942.234008,0.0218454203418623
192,20,70,200,176361.36303635,830.2090143499975,854.0,175531.154022,0.021391323832791607
193,40,70,200,173540.2398767,6230.685574699995,814.0,167309.554302,0.021112739158494855
194,60,70,200,174168.88073389998,76.50666289999026,847.0,174092.374071,0.02196877442123071
195,80,70,200,176010.5116602,68.27765219999128,856.0,175942.234008,0.021877857259726824
196,20,90,200,176361.36303635,830.2090143499975,854.0,175531.154022,0.021391323832791607
197,40,90,200,173540.2398767,6230.685574699995,814.0,167309.554302,0.021112739158494855
198,60,90,200,174168.88073389998,76.50666289999026,847.0,174092.374071,0.02196877442123071
199,80,90,200,176010.5116602,68.27765219999128,856.0,175942.234008,0.021877857259726824
200,20,110,200,176332.0830366,800.9290145999975,854.0,175531.154022,0.02137802531565257
201,40,110,200,174577.63276805,6240.378501049992,819.0,168337.254267,0.021478317277761047
202,60,110,200,175532.18717215,1.0331501499909734,854.0,175531.154022,0.022321756804823005
203,80,110,200,176564.459997,5.606009999994413,859.0,176558.853987,0.021972705175506264
204,20,130,200,176332.0830366,800.9290145999975,854.0,175531.154022,0.02137802531565257
205,40,130,200,174577.63276805,6240.378501049992,819.0,168337.254267,0.021478317277761047
206,60,130,200,175532.18717215,1.0331501499909734,854.0,175531.154022,0.022321756804823005
207,80,130,200,176564.459997,5.606009999994413,859.0,176558.853987,0.021972705175506264
208,20,150,200,176332.0830366,800.9290145999975,854.0,175531.154022,0.02137802531565257
209,40,150,200,174577.63276805,6240.378501049992,819.0,168337.254267,0.021478317277761047
210,60,150,200,175532.18717215,1.0331501499909734,854.0,175531.154022,0.022321756804823005
211,80,150,200,176564.459997,5.606009999994413,859.0,176558.853987,0.021972705175506264
212,20,170,200,235882.60795865,1155.9359526499968,1142.0,234726.672006,0.027688199066029175
213,40,170,200,238029.80257175,8441.630390749999,1117.0,229588.172181,0.028600007467112547
214,60,170,200,240720.0040342,32.67223119999653,1171.0,240687.331803,0.02988522628905173
215,80,170,200,241116.84220875,18.430419749989895,1173.0,241098.411789,0.029224478871192276
216,20,190,200,259156.24618979997,1203.5549747999814,1255.0,257952.691215,0.030296991377595856
217,40,190,200,262364.54645945,9344.815076449948,1231.0,253019.731383,0.03038643961582628
218,60,190,200,275509.75055680005,86.15993680000247,1340.0,275423.59062000003,0.032817599465943204
219,80,190,200,285327.70583119994,38.19554719995206,1388.0,285289.510284,0.033378627824322694
220,20,10,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
221,40,10,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
222,60,10,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
223,80,10,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
224,20,30,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
225,40,30,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
226,60,30,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
227,80,30,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
228,20,50,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
229,40,50,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
230,60,50,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
231,80,50,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
232,20,70,220,193448.9664739,1269.0730188999944,935.0,192179.893455,0.025745612419911905
233,40,70,220,199120.0457814,3445.972445399993,952.0,195674.073336,0.026946276836328338
234,60,70,220,183593.2309521,46.01720309999291,893.0,183547.21374900002,0.023413534173806004
235,80,70,220,176974.64392225,4.709949249993215,861.0,176969.933973,0.02159663782335423
236,20,90,220,195037.87891849998,1213.6655194999908,943.0,193824.213399,0.026105166542334572
237,40,90,220,199077.05494054998,3402.981604549988,952.0,195674.073336,0.026986956246812025
238,60,90,220,184232.1098785,68.27615049999076,896.0,184163.833728,0.023585613973746606
239,80,90,220,178834.19985165002,14.405941649998923,870.0,178819.79391,0.02198574580653501
240,20,110,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
241,40,110,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
242,60,110,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
243,80,110,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
244,20,130,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
245,40,130,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
246,60,130,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
247,80,130,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
248,20,150,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
249,40,150,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
250,60,150,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
251,80,150,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
252,20,170,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
253,40,170,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
254,60,170,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
255,80,170,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
256,20,190,220,192840.0994991,1276.8260230999942,932.0,191563.273476,0.025685265742360776
